Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Baker;Georgia;US;26/07/2020 04:35;31.32669878;-84.44218806;50;3;0;47;Baker, Georgia, US;1645.819618;6;
Baker;Oregon;US;26/07/2020 04:35;44.70915557;-117.6749883;17;0;0;17;Baker, Oregon, US;105.4328951;0;
Baldwin;Alabama;US;26/07/2020 04:35;30.72774991;-87.72207058;2620;17;0;2603;Baldwin, Alabama, US;1173.656343;0.648854962;
Baldwin;Georgia;US;26/07/2020 04:35;33.06882326;-83.24701748;822;37;0;785;Baldwin, Georgia, US;1831.142793;4.501216545;
Ballard;Kentucky;US;26/07/2020 04:35;37.05842757;-88.99427697;28;0;0;28;Ballard, Kentucky, US;354.969574;0;
Baltimore;Maryland;US;26/07/2020 04:35;39.45784712;-76.62911955;10793;524;0;10269;Baltimore, Maryland, US;1304.494966;4.85499861;
Baltimore City;Maryland;US;26/07/2020 04:35;39.30211911;-76.61151012;10210;397;0;9813;Baltimore City, Maryland, US;1720.332272;3.88834476;
Bamberg;South Carolina;US;26/07/2020 04:35;33.21927586;-81.05659969;358;6;0;352;Bamberg, South Carolina, US;2545.14432;1.675977654;
Bandera;Texas;US;26/07/2020 04:35;29.74619598;-99.24598147;71;0;0;71;Bandera, Texas, US;307.1997231;0;
Banks;Georgia;US;26/07/2020 04:35;34.35607081;-83.49644388;203;3;0;200;Banks, Georgia, US;1055.422689;1.477832512;
Banner;Nebraska;US;26/07/2020 04:35;41.54634427;-103.7114332;2;0;0;2;Banner, Nebraska, US;268.4563758;0;
Bannock;Idaho;US;26/07/2020 04:35;42.67002716;-112.2233311;234;1;0;233;Bannock, Idaho, US;266.4905248;0.427350427;
Baraga;Michigan;US;26/07/2020 04:35;46.6720582;-88.36363591;5;0;0;5;Baraga, Michigan, US;60.90875868;0;
Barber;Kansas;US;26/07/2020 04:35;37.2288586;-98.68460053;4;0;0;4;Barber, Kansas, US;90.35464197;0;
Barbour;Alabama;US;26/07/2020 04:35;31.868263;-85.3871286;516;4;0;512;Barbour, Alabama, US;2090.253585;0.775193798;
Barbour;West Virginia;US;26/07/2020 04:35;39.1307219;-80.00350858;28;1;0;27;Barbour, West Virginia, US;170.3059425;3.571428571;
Barceloneta;Puerto Rico;US;26/07/2020 04:35;18.445533;-66.560531;51;0;0;51;Barceloneta, Puerto Rico, US;205.5125725;0;
Barnes;North Dakota;US;26/07/2020 04:35;46.93579637;-98.06605978;30;0;0;30;Barnes, North Dakota, US;288.0460874;0;
Barnstable;Massachusetts;US;26/07/2020 04:35;41.72980578;-70.28854339;1684;155;0;1529;Barnstable, Massachusetts, US;790.6474482;9.204275534;
Barnwell;South Carolina;US;26/07/2020 04:35;33.26679302;-81.43584352;269;2;0;267;Barnwell, South Carolina, US;1289.178568;0.743494424;
Barranquitas;Puerto Rico;US;26/07/2020 04:35;18.201592;-66.30963;154;0;0;154;Barranquitas, Puerto Rico, US;507.9490732;0;
Barren;Kentucky;US;26/07/2020 04:35;36.96469836;-85.93338945;247;2;0;245;Barren, Kentucky, US;558.2047052;0.809716599;
Barron;Wisconsin;US;26/07/2020 04:35;45.42372701;-91.84833627;99;2;0;97;Barron, Wisconsin, US;218.8135443;2.02020202;
Barrow;Georgia;US;26/07/2020 04:35;33.99148694;-83.71436292;910;32;0;878;Barrow, Georgia, US;1093.224411;3.516483516;
Barry;Michigan;US;26/07/2020 04:35;42.59513984;-85.30834519;168;2;0;166;Barry, Michigan, US;272.9488221;1.19047619;
Barry;Missouri;US;26/07/2020 04:35;36.70978521;-93.82919888;187;0;0;187;Barry, Missouri, US;522.5069155;0;
Bartholomew;Indiana;US;26/07/2020 04:35;39.20744865;-85.89558181;672;45;0;627;Bartholomew, Indiana, US;802.110314;6.696428571;
Barton;Kansas;US;26/07/2020 04:35;38.47889676;-98.75636726;92;3;0;89;Barton, Kansas, US;356.8796307;3.260869565;
Barton;Missouri;US;26/07/2020 04:35;37.50207671;-94.34757022;52;0;0;52;Barton, Missouri, US;442.4025864;0;
Bartow;Georgia;US;26/07/2020 04:35;34.23732119;-84.83887523;1318;51;0;1267;Bartow, Georgia, US;1223.338098;3.869499241;
Bastrop;Texas;US;26/07/2020 04:35;30.10370699;-97.31206354;1190;12;0;1178;Bastrop, Texas, US;1341.253114;1.008403361;
Bates;Missouri;US;26/07/2020 04:35;38.25271289;-94.34113157;29;1;0;28;Bates, Missouri, US;179.3222854;3.448275862;
Bath;Kentucky;US;26/07/2020 04:35;38.14735938;-83.74588932;27;1;0;26;Bath, Kentucky, US;216;3.703703704;
Bath;Virginia;US;26/07/2020 04:35;38.05852573;-79.73912095;3;0;0;3;Bath, Virginia, US;72.34145165;0;
Baxter;Arkansas;US;26/07/2020 04:35;36.28784385;-92.33782872;55;0;0;55;Baxter, Arkansas, US;131.1647429;0;
Bay;Florida;US;26/07/2020 04:35;30.26548745;-85.62122584;2862;15;0;2847;Bay, Florida, US;1638.190092;0.524109015;
Bay;Michigan;US;26/07/2020 04:35;43.70639106;-83.98731479;510;31;0;479;Bay, Michigan, US;494.540659;6.078431373;
Bayamon;Puerto Rico;US;26/07/2020 04:35;18.34946;-66.168435;912;0;0;912;Bayamon, Puerto Rico, US;438.2171481;0;
Bayfield;Wisconsin;US;26/07/2020 04:35;46.52868768;-91.19716729;16;1;0;15;Bayfield, Wisconsin, US;106.4112796;6.25;
Baylor;Texas;US;26/07/2020 04:35;33.61640794;-99.21352901;5;0;0;5;Baylor, Texas, US;142.4907381;0;
Beadle;South Dakota;US;26/07/2020 04:35;44.41464384;-98.27858469;580;9;0;571;Beadle, South Dakota, US;3143.12036;1.551724138;
Bear Lake;Idaho;US;26/07/2020 04:35;42.28269683;-111.3289238;6;0;0;6;Bear Lake, Idaho, US;97.95918367;0;
Bear River;Utah;US;26/07/2020 04:35;41.52106798;-113.0832816;2078;5;0;2073;Bear River, Utah, US;1112.312518;0.240615977;
Beaufort;North Carolina;US;26/07/2020 04:35;35.48531943;-76.84325809;258;1;0;257;Beaufort, North Carolina, US;549.0062561;0.387596899;
Beaufort;South Carolina;US;26/07/2020 04:35;32.39226291;-80.72619758;2896;34;0;2862;Beaufort, South Carolina, US;1507.375522;1.174033149;
Beauregard;Louisiana;US;26/07/2020 04:35;30.64836518;-93.34173616;591;11;0;580;Beauregard, Louisiana, US;1576.12609;1.861252115;
Beaver;Oklahoma;US;26/07/2020 04:35;36.7496847;-100.4758872;36;0;0;36;Beaver, Oklahoma, US;677.8384485;0;
Beaver;Pennsylvania;US;26/07/2020 04:35;40.6825484;-80.34921611;1101;82;0;1019;Beaver, Pennsylvania, US;671.632231;7.44777475;
Beaverhead;Montana;US;26/07/2020 04:35;45.13434354;-112.8984694;31;0;0;31;Beaverhead, Montana, US;327.9382207;0;
Becker;Minnesota;US;26/07/2020 04:35;46.93479392;-95.67158144;101;0;0;101;Becker, Minnesota, US;293.4084769;0;
Beckham;Oklahoma;US;26/07/2020 04:35;35.26862449;-99.68128023;30;0;0;30;Beckham, Oklahoma, US;137.2432408;0;
Bedford;Pennsylvania;US;26/07/2020 04:35;40.00522157;-78.48998442;113;4;0;109;Bedford, Pennsylvania, US;235.9672569;3.539823009;
Bedford;Tennessee;US;26/07/2020 04:35;35.51123746;-86.45549096;741;10;0;731;Bedford, Tennessee, US;1490.55579;1.349527665;
Bedford;Virginia;US;26/07/2020 04:35;37.3080028;-79.5281964;224;4;0;220;Bedford, Virginia, US;283.5550717;1.785714286;
Bee;Texas;US;26/07/2020 04:35;28.41761668;-97.74215593;369;1;0;368;Bee, Texas, US;1133.118379;0.27100271;
Belknap;New Hampshire;US;26/07/2020 04:35;43.51637314;-71.41684235;101;4;0;97;Belknap, New Hampshire, US;164.7553953;3.96039604;
